#      raio    massa/M    densidade    pressao_t     Temperatura   Lumin  transporte
      0.995      1.000     0.23D-02     0.12D+11     0.38D+05      1.000     2
      0.990      1.000     0.39D-02     0.37D+11     0.71D+05      1.000     2
      0.985      1.000     0.57D-02     0.80D+11     0.10D+06      1.000     2
      0.980      1.000     0.78D-02     0.15D+12     0.14D+06      1.000     2
      0.975      1.000     0.10D-01     0.23D+12     0.17D+06      1.000     2
      0.970      1.000     0.13D-01     0.35D+12     0.21D+06      1.000     2
      0.965      1.000     0.15D-01     0.50D+12     0.24D+06      1.000     2
      0.960      1.000     0.18D-01     0.68D+12     0.28D+06      1.000     2
      0.955      0.999     0.21D-01     0.90D+12     0.31D+06      1.000     2
      0.950      0.999     0.25D-01     0.12D+13     0.35D+06      1.000     2
      0.945      0.999     0.28D-01     0.15D+13     0.38D+06      1.000     2
      0.940      0.999     0.32D-01     0.18D+13     0.42D+06      1.000     2
      0.935      0.999     0.36D-01     0.22D+13     0.46D+06      1.000     2
      0.930      0.999     0.40D-01     0.26D+13     0.49D+06      1.000     2
      0.925      0.998     0.44D-01     0.32D+13     0.53D+06      1.000     2
      0.920      0.998     0.48D-01     0.37D+13     0.57D+06      1.000     2
      0.915      0.998     0.53D-01     0.43D+13     0.61D+06      1.000     2
      0.910      0.998     0.58D-01     0.50D+13     0.65D+06      1.000     2
      0.905      0.997     0.63D-01     0.58D+13     0.68D+06      1.000     2
      0.900      0.997     0.68D-01     0.66D+13     0.72D+06      1.000     2
      0.895      0.996     0.73D-01     0.76D+13     0.76D+06      1.000     2
      0.890      0.996     0.79D-01     0.86D+13     0.81D+06      1.000     2
      0.885      0.996     0.84D-01     0.97D+13     0.85D+06      1.000     2
      0.880      0.995     0.90D-01     0.11D+14     0.89D+06      1.000     2
      0.875      0.995     0.96D-01     0.12D+14     0.93D+06      1.000     2
      0.870      0.994     0.10D+00     0.13D+14     0.97D+06      1.000     2
      0.865      0.994     0.11D+00     0.15D+14     0.10D+07      1.000     2
      0.860      0.993     0.12D+00     0.17D+14     0.11D+07      1.000     2
      0.855      0.992     0.12D+00     0.18D+14     0.11D+07      1.000     2
      0.850      0.992     0.13D+00     0.20D+14     0.11D+07      1.000     2
      0.845      0.991     0.14D+00     0.22D+14     0.12D+07      1.000     2
      0.840      0.990     0.14D+00     0.24D+14     0.12D+07      1.000     2
      0.835      0.990     0.15D+00     0.26D+14     0.13D+07      1.000     2
      0.830      0.989     0.16D+00     0.29D+14     0.13D+07      1.000     2
      0.825      0.988     0.17D+00     0.31D+14     0.14D+07      1.000     2
      0.820      0.987     0.18D+00     0.34D+14     0.14D+07      1.000     2
      0.815      0.987     0.19D+00     0.37D+14     0.15D+07      1.000     2
      0.810      0.986     0.19D+00     0.40D+14     0.15D+07      1.000     2
      0.805      0.985     0.20D+00     0.43D+14     0.16D+07      1.000     2
      0.800      0.984     0.21D+00     0.47D+14     0.16D+07      1.000     2
      0.795      0.983     0.22D+00     0.50D+14     0.17D+07      1.000     2
      0.790      0.982     0.23D+00     0.54D+14     0.17D+07      1.000     2
      0.785      0.981     0.24D+00     0.58D+14     0.18D+07      1.000     2
      0.780      0.980     0.25D+00     0.62D+14     0.18D+07      1.000     2
      0.775      0.979     0.26D+00     0.67D+14     0.19D+07      1.000     2
      0.770      0.978     0.27D+00     0.72D+14     0.19D+07      1.000     2
      0.765      0.977     0.29D+00     0.77D+14     0.20D+07      1.000     2
      0.760      0.975     0.30D+00     0.82D+14     0.20D+07      1.000     1
      0.755      0.974     0.31D+00     0.87D+14     0.21D+07      1.000     1
      0.750      0.973     0.32D+00     0.93D+14     0.21D+07      1.000     1
      0.745      0.972     0.34D+00     0.99D+14     0.22D+07      1.000     1
      0.740      0.970     0.35D+00     0.11D+15     0.22D+07      1.000     1
