#  raio       pgas        prad      epspp      epscno   epstot
  0.995D+00  0.118D+11  0.536D+04  0.677D-39  0.101D-171  0.677D-39
  0.990D+00  0.371D+11  0.643D+05  0.108D-30  0.608D-135  0.108D-30
  0.985D+00  0.805D+11  0.298D+06  0.222D-26  0.101D-115  0.222D-26
  0.980D+00  0.145D+12  0.909D+06  0.148D-23  0.343D-103  0.148D-23
  0.975D+00  0.234D+12  0.219D+07  0.170D-21  0.431D-94  0.170D-21
  0.970D+00  0.351D+12  0.453D+07  0.672D-20  0.475D-87  0.672D-20
  0.965D+00  0.499D+12  0.844D+07  0.132D-18  0.232D-81  0.132D-18
  0.960D+00  0.680D+12  0.145D+08  0.159D-17  0.127D-76  0.159D-17
  0.955D+00  0.898D+12  0.235D+08  0.133D-16  0.139D-72  0.133D-16
  0.950D+00  0.116D+13  0.363D+08  0.847D-16  0.445D-69  0.847D-16
  0.945D+00  0.146D+13  0.540D+08  0.432D-15  0.542D-66  0.432D-15
  0.940D+00  0.180D+13  0.776D+08  0.185D-14  0.304D-63  0.185D-14
  0.935D+00  0.220D+13  0.109D+09  0.685D-14  0.901D-61  0.685D-14
  0.930D+00  0.265D+13  0.149D+09  0.225D-13  0.158D-58  0.225D-13
  0.925D+00  0.315D+13  0.200D+09  0.668D-13  0.176D-56  0.668D-13
  0.920D+00  0.372D+13  0.263D+09  0.182D-12  0.135D-54  0.182D-12
  0.915D+00  0.435D+13  0.342D+09  0.460D-12  0.744D-53  0.460D-12
  0.910D+00  0.504D+13  0.438D+09  0.109D-11  0.308D-51  0.109D-11
  0.905D+00  0.581D+13  0.555D+09  0.244D-11  0.993D-50  0.244D-11
  0.900D+00  0.665D+13  0.695D+09  0.518D-11  0.256D-48  0.518D-11
  0.895D+00  0.756D+13  0.862D+09  0.105D-10  0.545D-47  0.105D-10
  0.890D+00  0.857D+13  0.106D+10  0.206D-10  0.970D-46  0.206D-10
  0.885D+00  0.966D+13  0.129D+10  0.388D-10  0.148D-44  0.388D-10
  0.880D+00  0.108D+14  0.156D+10  0.707D-10  0.195D-43  0.707D-10
  0.875D+00  0.121D+14  0.188D+10  0.125D-09  0.226D-42  0.125D-09
  0.870D+00  0.135D+14  0.225D+10  0.216D-09  0.232D-41  0.216D-09
  0.865D+00  0.150D+14  0.267D+10  0.363D-09  0.215D-40  0.363D-09
  0.860D+00  0.166D+14  0.315D+10  0.597D-09  0.180D-39  0.597D-09
  0.855D+00  0.183D+14  0.371D+10  0.961D-09  0.138D-38  0.961D-09
  0.850D+00  0.201D+14  0.434D+10  0.152D-08  0.974D-38  0.152D-08
  0.845D+00  0.221D+14  0.506D+10  0.236D-08  0.635D-37  0.236D-08
  0.840D+00  0.242D+14  0.587D+10  0.360D-08  0.386D-36  0.360D-08
  0.835D+00  0.264D+14  0.679D+10  0.541D-08  0.219D-35  0.541D-08
  0.830D+00  0.288D+14  0.783D+10  0.802D-08  0.117D-34  0.802D-08
  0.825D+00  0.314D+14  0.899D+10  0.117D-07  0.589D-34  0.117D-07
  0.820D+00  0.341D+14  0.103D+11  0.169D-07  0.281D-33  0.169D-07
  0.815D+00  0.369D+14  0.118D+11  0.242D-07  0.128D-32  0.242D-07
  0.810D+00  0.400D+14  0.134D+11  0.342D-07  0.552D-32  0.342D-07
  0.805D+00  0.432D+14  0.152D+11  0.478D-07  0.228D-31  0.478D-07
  0.800D+00  0.466D+14  0.172D+11  0.661D-07  0.904D-31  0.661D-07
  0.795D+00  0.502D+14  0.194D+11  0.907D-07  0.345D-30  0.907D-07
  0.790D+00  0.540D+14  0.219D+11  0.123D-06  0.126D-29  0.123D-06
  0.785D+00  0.581D+14  0.247D+11  0.166D-06  0.448D-29  0.166D-06
  0.780D+00  0.623D+14  0.277D+11  0.222D-06  0.153D-28  0.222D-06
  0.775D+00  0.668D+14  0.310D+11  0.295D-06  0.508D-28  0.295D-06
  0.770D+00  0.716D+14  0.347D+11  0.390D-06  0.164D-27  0.390D-06
