#  raio      kapbf      kapff      sigmae      kaptot     densidade
  0.995D+00  0.976D+05  0.129D+05  0.341D+00  0.110D+06   0.228D-02
  0.990D+00  0.188D+05  0.248D+04  0.341D+00  0.213D+05   0.386D-02
  0.985D+00  0.726D+04  0.959D+03  0.341D+00  0.822D+04   0.570D-02
  0.980D+00  0.373D+04  0.493D+03  0.341D+00  0.423D+04   0.779D-02
  0.975D+00  0.224D+04  0.296D+03  0.341D+00  0.254D+04   0.101D-01
  0.970D+00  0.148D+04  0.196D+03  0.341D+00  0.168D+04   0.126D-01
  0.965D+00  0.105D+04  0.138D+03  0.341D+00  0.118D+04   0.153D-01
  0.960D+00  0.775D+03  0.102D+03  0.341D+00  0.877D+03   0.182D-01
  0.955D+00  0.595D+03  0.785D+02  0.341D+00  0.673D+03   0.214D-01
  0.950D+00  0.469D+03  0.620D+02  0.341D+00  0.532D+03   0.247D-01
  0.945D+00  0.379D+03  0.500D+02  0.341D+00  0.429D+03   0.281D-01
  0.940D+00  0.311D+03  0.411D+02  0.341D+00  0.353D+03   0.318D-01
  0.935D+00  0.260D+03  0.343D+02  0.341D+00  0.295D+03   0.357D-01
  0.930D+00  0.220D+03  0.290D+02  0.341D+00  0.249D+03   0.397D-01
  0.925D+00  0.188D+03  0.248D+02  0.341D+00  0.213D+03   0.439D-01
  0.920D+00  0.162D+03  0.215D+02  0.341D+00  0.184D+03   0.483D-01
  0.915D+00  0.142D+03  0.187D+02  0.341D+00  0.161D+03   0.529D-01
  0.910D+00  0.124D+03  0.164D+02  0.341D+00  0.141D+03   0.577D-01
  0.905D+00  0.110D+03  0.145D+02  0.341D+00  0.125D+03   0.626D-01
  0.900D+00  0.975D+02  0.129D+02  0.341D+00  0.111D+03   0.678D-01
  0.895D+00  0.871D+02  0.115D+02  0.341D+00  0.990D+02   0.731D-01
  0.890D+00  0.782D+02  0.103D+02  0.341D+00  0.889D+02   0.786D-01
  0.885D+00  0.705D+02  0.931D+01  0.341D+00  0.802D+02   0.843D-01
  0.880D+00  0.638D+02  0.843D+01  0.341D+00  0.726D+02   0.902D-01
  0.875D+00  0.580D+02  0.766D+01  0.341D+00  0.660D+02   0.963D-01
  0.870D+00  0.529D+02  0.698D+01  0.341D+00  0.602D+02   0.103D+00
  0.865D+00  0.483D+02  0.638D+01  0.341D+00  0.551D+02   0.109D+00
  0.860D+00  0.443D+02  0.585D+01  0.341D+00  0.505D+02   0.116D+00
  0.855D+00  0.408D+02  0.538D+01  0.341D+00  0.465D+02   0.123D+00
  0.850D+00  0.376D+02  0.496D+01  0.341D+00  0.429D+02   0.130D+00
  0.845D+00  0.347D+02  0.458D+01  0.341D+00  0.396D+02   0.137D+00
  0.840D+00  0.321D+02  0.424D+01  0.341D+00  0.367D+02   0.145D+00
  0.835D+00  0.298D+02  0.394D+01  0.341D+00  0.341D+02   0.152D+00
  0.830D+00  0.277D+02  0.366D+01  0.341D+00  0.317D+02   0.160D+00
  0.825D+00  0.258D+02  0.341D+01  0.341D+00  0.296D+02   0.169D+00
  0.820D+00  0.241D+02  0.318D+01  0.341D+00  0.276D+02   0.177D+00
  0.815D+00  0.225D+02  0.297D+01  0.341D+00  0.258D+02   0.186D+00
  0.810D+00  0.210D+02  0.278D+01  0.341D+00  0.242D+02   0.195D+00
  0.805D+00  0.197D+02  0.260D+01  0.341D+00  0.227D+02   0.204D+00
  0.800D+00  0.185D+02  0.244D+01  0.341D+00  0.213D+02   0.213D+00
  0.795D+00  0.174D+02  0.229D+01  0.341D+00  0.200D+02   0.223D+00
  0.790D+00  0.163D+02  0.216D+01  0.341D+00  0.188D+02   0.233D+00
  0.785D+00  0.154D+02  0.203D+01  0.341D+00  0.177D+02   0.243D+00
  0.780D+00  0.145D+02  0.191D+01  0.341D+00  0.167D+02   0.253D+00
  0.775D+00  0.137D+02  0.180D+01  0.341D+00  0.158D+02   0.264D+00
  0.770D+00  0.129D+02  0.170D+01  0.341D+00  0.150D+02   0.275D+00
  0.765D+00  0.122D+02  0.161D+01  0.341D+00  0.141D+02   0.286D+00
  0.760D+00  0.116D+02  0.153D+01  0.341D+00  0.135D+02   0.298D+00
  0.755D+00  0.112D+02  0.148D+01  0.341D+00  0.130D+02   0.311D+00
  0.750D+00  0.108D+02  0.143D+01  0.341D+00  0.126D+02   0.324D+00
  0.745D+00  0.105D+02  0.139D+01  0.341D+00  0.123D+02   0.339D+00
  0.740D+00  0.103D+02  0.136D+01  0.341D+00  0.120D+02   0.354D+00
  0.735D+00  0.101D+02  0.133D+01  0.341D+00  0.118D+02   0.371D+00
  0.730D+00  0.991D+01  0.131D+01  0.341D+00  0.116D+02   0.388D+00
  0.725D+00  0.975D+01  0.129D+01  0.341D+00  0.114D+02   0.406D+00
  0.720D+00  0.962D+01  0.127D+01  0.341D+00  0.112D+02   0.424D+00
  0.715D+00  0.950D+01  0.125D+01  0.341D+00  0.111D+02   0.444D+00
  0.710D+00  0.939D+01  0.124D+01  0.341D+00  0.110D+02   0.465D+00
  0.705D+00  0.929D+01  0.123D+01  0.341D+00  0.109D+02   0.487D+00
  0.700D+00  0.920D+01  0.122D+01  0.341D+00  0.108D+02   0.509D+00
  0.695D+00  0.912D+01  0.120D+01  0.341D+00  0.107D+02   0.533D+00
  0.690D+00  0.904D+01  0.119D+01  0.341D+00  0.106D+02   0.558D+00
  0.685D+00  0.897D+01  0.118D+01  0.341D+00  0.105D+02   0.584D+00
  0.680D+00  0.891D+01  0.118D+01  0.341D+00  0.104D+02   0.611D+00
  0.675D+00  0.884D+01  0.117D+01  0.341D+00  0.104D+02   0.639D+00
  0.670D+00  0.878D+01  0.116D+01  0.341D+00  0.103D+02   0.669D+00
  0.665D+00  0.873D+01  0.115D+01  0.341D+00  0.102D+02   0.700D+00
  0.660D+00  0.867D+01  0.115D+01  0.341D+00  0.102D+02   0.733D+00
  0.655D+00  0.862D+01  0.114D+01  0.341D+00  0.101D+02   0.767D+00
  0.650D+00  0.857D+01  0.113D+01  0.341D+00  0.100D+02   0.802D+00
  0.645D+00  0.852D+01  0.112D+01  0.341D+00  0.998D+01   0.839D+00
  0.640D+00  0.847D+01  0.112D+01  0.341D+00  0.993D+01   0.878D+00
  0.635D+00  0.842D+01  0.111D+01  0.341D+00  0.988D+01   0.919D+00
  0.630D+00  0.838D+01  0.111D+01  0.341D+00  0.982D+01   0.961D+00
  0.625D+00  0.833D+01  0.110D+01  0.341D+00  0.977D+01   0.101D+01
  0.620D+00  0.829D+01  0.109D+01  0.341D+00  0.972D+01   0.105D+01
  0.615D+00  0.824D+01  0.109D+01  0.341D+00  0.967D+01   0.110D+01
  0.610D+00  0.820D+01  0.108D+01  0.341D+00  0.962D+01   0.115D+01
  0.605D+00  0.815D+01  0.108D+01  0.341D+00  0.957D+01   0.120D+01
  0.600D+00  0.811D+01  0.107D+01  0.341D+00  0.952D+01   0.126D+01
